YEAR,MO,DY,T2M,TS,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,QV2M,WS10M,WS50M
2001,1,1,9.97,10.75,0.1,74.62,3.45,4.94,0.48,304.13,61.42,86.69,8.47,0.22,1.15,7.75,1.17,1.69
2001,1,2,10.38,11.13,0.06,74.77,4.02,5.03,0.55,304.57,71.91,89.66,9.73,0.25,1.34,7.2,1.33,1.85
2001,1,3,8.91,10.03,0.01,74.92,3.68,5.34,0.51,295.34,66.46,95.48,9.34,0.24,1.29,6.16,2.36,3.16
2001,1,4,9.73,10.58,0,74.82,5.16,5.18,0.71,269.09,90.52,91.53,11.73,0.27,1.37,5.98,1.78,2.64
2001,1,5,10.63,10.73,0,74.72,5.47,5.45,0.75,259.95,97.34,97.74,12.82,0.3,1.48,6.29,2.58,4.03
2001,1,6,11.81,11.46,0,74.54,5.58,5.57,0.76,253.9,98.02,98.58,12.95,0.3,1.5,5.07,1.12,1.8
2001,1,7,12.5,11.93,0.03,74.43,5.32,5.53,0.73,271.98,95.45,99.91,12.66,0.3,1.5,6.35,2.08,3.06
2001,1,8,10.65,11.31,2.07,74.49,3.96,4.94,0.54,289.8,70.09,86.49,9.46,0.23,1.2,7.2,2.28,3.8
2001,1,9,9.54,9.64,0.6,74.56,2.57,5.1,0.35,320.38,47.92,91.61,6.97,0.18,0.93,8.48,1.4,2.24
2001,1,10,10.38,10.8,0.07,74.53,3.52,5.27,0.48,309.81,64.13,95.2,9.07,0.23,1.23,7.57,2.3,3.48
2001,1,11,11.62,11.9,0.15,74.63,4.13,4.92,0.55,298.03,72.85,86.49,9.69,0.23,1.21,7.2,1.35,2.05
2001,1,12,11.98,12.72,0.03,74.63,5.04,5.2,0.68,282.45,89.37,92.84,11.73,0.29,1.46,6.59,1.49,2.45
2001,1,13,12.83,12.18,0,74.58,5.31,5.32,0.71,274.89,93.55,94.35,12.12,0.29,1.45,5.55,1.34,1.98
2001,1,14,12.68,12.26,0,74.61,5.08,5.08,0.68,266.02,87.34,87.97,11.32,0.28,1.45,5.92,1.5,2.27
2001,1,15,11.83,11.24,0,74.58,5.38,5.42,0.71,260.26,93.77,95.11,12.29,0.3,1.52,4.76,2.27,3.34
2001,1,16,11.69,10.98,0,74.49,5.59,5.55,0.74,251.52,97.9,98.02,12.84,0.31,1.59,5.92,2.63,3.91
2001,1,17,12.2,11.35,0.01,74.43,5.46,5.76,0.72,255.35,96.35,102.32,12.8,0.32,1.66,5.31,2.11,3.17
2001,1,18,10.35,10.27,0,74.31,4.91,5.58,0.65,274.09,87.3,99.46,11.7,0.3,1.59,5.92,4.19,6.37
2001,1,19,9.01,9.24,0.04,74.35,5.25,5.44,0.69,257.99,92.33,96.3,12.2,0.31,1.59,5.92,3.45,5.07
2001,1,20,8.8,8.4,0,74.67,5.76,5.77,0.75,251.78,100.35,101.2,13.23,0.34,1.7,5,2.04,2.78
2001,1,21,9.82,9.68,0,74.79,5.77,5.77,0.75,251.84,99.62,100.36,13.17,0.33,1.67,4.33,1.95,2.71
2001,1,22,8.95,9.51,0,74.78,5.78,5.74,0.75,250.84,100.44,100.52,13.25,0.33,1.64,4.27,1.03,1.45
2001,1,23,10.62,10.21,0,74.64,5.89,5.86,0.76,254.98,103.62,103.94,13.7,0.34,1.7,4.27,1.66,2.34
2001,1,24,10.98,10.46,0,74.71,5.06,5.74,0.65,274.26,89.26,100.62,12.02,0.3,1.62,4.64,1.99,2.76
2001,1,25,10.72,11.06,0,74.77,4.69,5.93,0.6,284.49,83.91,105.98,11.6,0.3,1.6,5.13,1.01,1.57
2001,1,26,12.05,11.96,0,74.59,4.98,5.97,0.63,281.7,88.72,106.11,12.17,0.32,1.69,4.27,1.95,2.92
2001,1,27,11.17,10.66,0,74.51,5.36,5.53,0.68,261.9,93.98,97.16,12.3,0.31,1.6,4.39,2.84,4.11
2001,1,28,11.48,11.62,0.01,74.58,5.7,5.98,0.72,266.34,103.19,108.95,13.84,0.36,1.82,6.71,3.11,4.7
2001,1,29,13.38,13,0,74.54,5.23,5.96,0.66,280.2,95.54,109.27,12.95,0.34,1.78,6.84,2.28,3.37
2001,1,30,13.08,12.83,0.05,74.45,5.92,6.04,0.74,264.77,105.91,108.75,14.16,0.38,1.91,7.14,2.96,4.24
2001,1,31,13.36,13.32,0.02,74.52,5.48,5.92,0.68,265.73,95.23,103.38,12.73,0.34,1.76,6.29,1.22,1.82
2001,2,1,11.9,11.74,0.05,74.55,5.77,5.76,0.71,260.35,100.01,100.46,13.13,0.35,1.8,6.53,3.16,4.64
2001,2,2,11.19,10.98,0.38,74.55,5.45,5.68,0.67,269.11,93.45,97.33,12.3,0.34,1.73,5.74,1.8,2.56
2001,2,3,10.4,11.38,0.49,74.56,4.45,5.84,0.55,309.51,79.28,103.12,10.91,0.3,1.6,6.35,1.56,2.35
2001,2,4,9.58,10.55,0.26,74.68,3.42,5.88,0.41,322.27,62.22,105.16,8.91,0.25,1.33,6.47,2.55,3.45
2001,2,5,9.09,10.31,0.06,74.63,3.97,6.28,0.48,316.85,72.21,113.86,10.37,0.29,1.54,6.59,2.45,3.27
2001,2,6,11.08,11.69,0,74.49,5.07,6.25,0.61,286.33,91.03,112.75,12.51,0.34,1.77,5.92,1.33,2.01
2001,2,7,12.45,12.62,0,74.45,5.4,6.17,0.65,282.89,96.3,110.52,13.03,0.36,1.87,5.49,1.65,2.41
2001,2,8,13.44,14.12,0.04,74.48,5.11,6.16,0.61,289.43,91.66,110.24,12.48,0.35,1.84,5.98,1.3,2.16
2001,2,9,12.59,12.57,0.31,74.5,4.47,6.03,0.53,302.35,80.38,107.23,11.17,0.32,1.71,6.71,2.84,4.11
2001,2,10,11.69,12.3,0.15,74.55,5.7,6.27,0.67,295.62,102.46,113.09,13.92,0.4,2.09,6.9,2.48,3.6
2001,2,11,12.83,13.87,0.02,74.59,5.82,6.43,0.69,296.24,105.63,117.38,14.39,0.41,2.18,6.16,0.88,1.41
2001,2,12,13.3,13.38,0.01,74.61,5.75,6.17,0.67,285.31,102.16,109.97,13.47,0.37,1.9,5.68,1.16,1.69
2001,2,13,13.85,13.8,0,74.65,6.34,6.34,0.74,263.05,110.66,111.25,14.7,0.39,2.02,4.82,1.1,1.68
2001,2,14,13.71,13.98,0,74.52,6.36,6.39,0.74,268.63,112.16,113.22,14.99,0.41,2.11,4.52,1.99,3.07
2001,2,15,13.15,13.99,0,74.41,6.3,6.53,0.73,272.05,112.22,116.74,15.09,0.41,2.13,5.62,2.56,4.05
2001,2,16,13.62,14.58,0.03,74.6,6.16,6.51,0.71,285.03,110.25,116.98,14.87,0.42,2.18,6.23,2.43,3.45
2001,2,17,12.38,13.87,0.07,74.84,5.17,6.17,0.59,309.84,92.76,110.12,12.56,0.37,1.9,6.41,1.85,2.28
2001,2,18,11.48,12.34,0.04,74.79,6.39,6.74,0.73,291.96,114.32,120.9,15.62,0.46,2.43,4.15,1.14,1.75
2001,2,19,13.19,13.51,0.01,74.7,5.26,6.69,0.6,299.45,95.06,121.18,13.09,0.37,1.91,5.25,0.98,1.49
2001,2,20,13.63,14.4,0,74.74,6.19,6.2,0.7,270.66,106.84,107.38,13.95,0.38,2,5.62,1.93,2.85
2001,2,21,13.57,14.04,0,74.65,6.37,6.45,0.72,269.34,110.34,111.81,14.54,0.41,2.12,5.25,2.27,3.2
2001,2,22,13.65,14.73,0.04,74.49,6.02,6.34,0.67,277.95,105.1,110.32,13.96,0.4,2.07,5.74,1.2,1.88
2001,2,23,13.02,14.24,0.1,74.41,5.51,6.32,0.62,284.34,97.42,110.77,13.11,0.37,1.89,6.9,2.47,3.76
2001,2,24,11.91,12.2,0.84,74.47,4.26,6.4,0.48,307.94,77.86,114.12,10.74,0.31,1.58,7.26,2.14,2.99
2001,2,25,13.28,13.34,1.06,74.59,4.51,6.21,0.5,311.16,80.73,109.22,10.91,0.32,1.62,6.47,1.4,1.98
2001,2,26,12.08,11.9,0.82,74.65,4.4,6.45,0.48,316.21,80.84,115.94,11.3,0.33,1.68,6.96,1.12,1.64
